,title,avg_before_2020,2020_total,change(%)
16390,Støtteperson / Mentor,427,1,-99.76580796252928
31,1. assistent,246,1,-99.59349593495935
14146,Servicemedarbejder - under 18 år,67,1,-98.50746268656717
16370,Studiemedarbejder,112,3,-97.32142857142857
7049,Jobtitel mangler,64,3,-95.3125
13566,Salgsassistentelev,101,5,-95.04950495049505
6749,Instruktør,53,5,-90.56603773584906
13637,Salgsleder,54,6,-88.88888888888889
2623,"Chauffør, fragt, distribution, blandet kørsel",56,7,-87.5
13610,Salgselev,86,16,-81.3953488372093
15793,Souschef,98,20,-79.59183673469387
1905,Butiksassistent,179,38,-78.77094972067039
13357,Salgsassistent,183,49,-73.22404371584699
14060,Serveringsmedarbejder,58,16,-72.41379310344827
7588,Kok,145,40,-72.41379310344827
19471,Økonomielev,55,16,-70.9090909090909
7868,Kontorelev,100,30,-70.0
8334,Lagermedarbejder,235,71,-69.7872340425532
16199,Studentermedhjælper,237,72,-69.62025316455696
17586,Tilkaldevikar,80,31,-61.25000000000001
8490,Leder,72,28,-61.111111111111114
13617,Salgskonsulent,99,41,-58.58585858585859
12255,Receptionist,70,30,-57.14285714285714
10875,Praktikant,253,109,-56.916996047430835
9628,Mekaniker,85,37,-56.470588235294116
18209,Ungarbejder,80,36,-55.00000000000001
8052,Kundeservicemedarbejder,72,33,-54.16666666666667
17649,Tjener,143,70,-51.04895104895104
3875,Elektriker,111,55,-50.45045045045045
3939,Elev,56,29,-48.21428571428571
5420,Fysioterapeut,61,32,-47.540983606557376
7840,Kontorassistent,59,31,-47.45762711864406
8199,Køkkenmedhjælper,93,49,-47.31182795698925
7376,Key Account Manager,52,28,-46.15384615384615
8753,Lærer,83,45,-45.78313253012048
1687,Bogholder,67,38,-43.28358208955224
14972,Social- og sundhedsassistent,237,137,-42.19409282700421
11059,Produktionsmedarbejder,102,60,-41.17647058823529
11989,Pædagogmedhjælper,120,71,-40.833333333333336
14141,Servicemedarbejder,99,59,-40.40404040404041
7719,Kommunikationspraktikant,54,33,-38.888888888888886
11173,Projektleder,135,84,-37.77777777777778
9336,Medarbejder,109,68,-37.61467889908256
17107,Sælger,54,34,-37.03703703703704
7776,Konsulent,54,34,-37.03703703703704
4518,Ernæringsassistent,82,52,-36.58536585365854
12473,Rengøringsassistent,436,288,-33.944954128440365
16607,Sygeplejerske,200,136,-31.999999999999996
9845,Murer,51,35,-31.372549019607842
16176,Studentermedarbejder,127,89,-29.92125984251969
