,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
gravermedhjælper,0.9354838709677418,0.2741935483870968,0.03225806451612906,0.09677419354838712,0.8709677419354838,0.3387096774193548,0.03225806451612906,0.06451612903225806,0.9838709677419355,0.25806451612903225,0.12903225806451613,0.04838709677419356,1.0,0.1774193548387097,0.06451612903225806,0.0
økonomielev,0.7560975609756098,0.6829268292682927,0.29268292682926833,0.14634146341463417,0.6097560975609756,1.0,0.3902439024390244,0.14634146341463417,0.9268292682926829,0.8292682926829269,0.2682926829268293,0.04878048780487804,0.5121951219512195,0.5365853658536586,0.14634146341463417,0.0
køkkenmedhjælper,0.726027397260274,0.8082191780821917,0.3972602739726028,0.0,0.46575342465753433,1.0,0.5205479452054793,0.31506849315068486,0.6027397260273972,0.8904109589041096,0.26027397260273966,0.47945205479452047,0.3287671232876712,0.041095890410958846,0.2191780821917808,0.0
kok,0.88663282571912,0.796954314720812,0.5736040609137056,0.36209813874788493,0.6954314720812182,1.0,0.5245346869712351,0.37225042301184436,0.6243654822335025,0.692047377326565,0.4991539763113367,0.350253807106599,0.4111675126903553,0.19458544839255493,0.42808798646362095,0.0
serveringsmedarbejder,0.7936507936507936,1.0,0.6190476190476191,0.25396825396825395,0.6190476190476191,0.7777777777777777,0.5238095238095237,0.3492063492063492,0.6349206349206349,0.6190476190476191,0.4126984126984127,0.1746031746031746,0.2698412698412698,0.19047619047619047,0.4920634920634921,0.0
tjener,0.7668393782383418,0.8678756476683938,0.6968911917098446,0.3911917098445596,0.6476683937823835,1.0,0.5699481865284974,0.33937823834196895,0.704663212435233,0.77720207253886,0.5077720207253886,0.2564766839378238,0.4300518134715026,0.18652849740932637,0.49481865284974097,0.0
souschef,0.357142857142857,0.2142857142857142,0.1428571428571428,0.6547619047619049,0.7499999999999998,0.726190476190476,0.0,0.357142857142857,0.45238095238095233,0.8809523809523807,0.9999999999999998,0.9880952380952379,0.857142857142857,0.5952380952380951,0.10714285714285698,0.011904761904761862
salgselev,0.26436781609195403,0.02873563218390804,0.4367816091954022,0.41954022988505746,0.45977011494252873,0.4885057471264368,0.2413793103448276,0.17816091954022986,0.4770114942528735,0.9999999999999999,0.02873563218390804,0.0,0.4137931034482758,0.0,0.19540229885057472,0.0517241379310345
chauffør,0.3200934579439252,0.7032710280373831,0.558411214953271,0.29439252336448596,0.2897196261682242,1.0,0.4112149532710281,0.09813084112149528,0.3341121495327102,0.5630841121495327,0.20327102803738317,0.0,0.09345794392523366,0.0,0.10747663551401865,0.06542056074766356
salgskonsulent,1.0,0.5978260869565217,0.8804347826086956,0.8804347826086956,0.5978260869565217,0.576086956521739,0.26086956521739135,0.4347826086956521,0.6630434782608696,0.4782608695652173,0.11956521739130432,0.23913043478260865,0.13043478260869568,0.16304347826086962,0.0,0.07608695652173914
bogholder,1.0000000000000002,0.5087719298245614,0.44736842105263164,0.6140350877192984,0.6140350877192984,0.6140350877192984,0.22807017543859653,0.16666666666666674,0.9473684210526316,0.368421052631579,0.19298245614035103,0.13157894736842102,0.22807017543859653,0.03508771929824572,0.0,0.07894736842105265
kontorelev,1.0,0.46892655367231634,0.2711864406779661,0.02259887005649719,0.9830508474576272,0.5819209039548023,0.10734463276836159,0.15254237288135591,0.96045197740113,0.536723163841808,0.0,0.15254237288135591,0.7570621468926555,0.3107344632768361,0.14124293785310732,0.1016949152542373
