,title,avg_before_2020,2020_total,change(%)
9488,Medarbejder under 18 år,13,127,876.923076923077
14229,Servicemedarbejder under 18 år til Food - København V,6,29,383.3333333333333
18693,Vil du give udsatte børn i Odense ferieoplevelser for livet?,6,20,233.33333333333334
19433,warehouseworker,6,20,233.33333333333334
13735,Scrum Master,7,23,228.57142857142856
13859,Senior Data Scientist,7,23,228.57142857142856
11028,Product Owner,7,23,228.57142857142856
13556,Salgsassistent under 18 år til bageriudsalget - Vejle,8,25,212.5
3186,Data Analyst,6,17,183.33333333333334
2112,Butiksassistent under 18 år - Rødovre,9,25,177.77777777777777
16534,Supply Chain Manager,7,19,171.42857142857144
9859,Murersvend,11,29,163.63636363636363
18791,Vil du være leder indenfor spedition i Region Syddanmark,7,18,157.14285714285717
2965,Customer Service Representative,7,18,157.14285714285717
4133,Engineering Manager,6,15,150.0
13522,Salgsassistent under 18 år til bageriudsalget - Hjørring,8,20,150.0
16405,Støtteperson / Mentor (RUC),16,38,137.5
2114,Butiksassistent under 18 år - Silkeborg,8,19,137.5
2977,Customer Success Manager,23,53,130.43478260869566
2092,Butiksassistent under 18 år - Odense SØ,7,16,128.57142857142856
13286,Sales Development Representative,11,25,127.2727272727273
12166,QA Engineer,8,18,125.0
13532,Salgsassistent under 18 år til bageriudsalget - København S,6,13,116.66666666666666
14000,Senior Software Engineer,14,29,107.14285714285717
7480,Klinikassistent - Region Syddanmark,14,29,107.14285714285717
5638,Giv sårbare børn og deres familier i Odense en oplevelse for livet,25,51,104.0
16391,Støtteperson / Mentor (AAU),37,75,102.70270270270272
825,Anlægsgartner søges,6,12,100.0
14206,Servicemedarbejder under 18 år til Food - Aarhus C,8,16,100.0
13896,Senior Frontend Developer,18,36,100.0
2056,Butiksassistent under 18 år - København N,6,12,100.0
2747,Cloud Architect,6,12,100.0
5719,Graphic Designer,21,41,95.23809523809523
16402,Støtteperson / Mentor (KU),103,200,94.1747572815534
2085,Butiksassistent under 18 år - Odense C,14,27,92.85714285714286
4682,Faglig Vejleder,9,17,88.88888888888889
17944,UX/UI Designer,8,15,87.5
13825,Senior Backend Developer,8,15,87.5
557,Afdelingssygeplejerske,8,15,87.5
7066,Jordemoder,6,11,83.33333333333333
9200,Marketingpraktikant,6,11,83.33333333333333
14888,Social og Sundhedsassistent,6,11,83.33333333333333
3392,Digital Marketing Manager,11,20,81.81818181818181
19467,Økonomichef,11,20,81.81818181818181
4935,Finance Manager,17,30,76.47058823529412
14649,Site Reliability Engineer,8,14,75.0
7326,Kasseassistent under 18 år - Hjørring,8,14,75.0
6179,Head of Support Services,8,14,75.0
9165,Marketing Manager,18,31,72.22222222222223
5715,Graphic Design Intern,18,31,72.22222222222223
